ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,yhat_smooth
2018-03-06,1364089.1417187615,1469170.6840576262,1630047.1138223114,1364089.1417187615,1364089.1417187615,183773.5222178479,183773.5222178479,183773.5222178479,88702.1241566989,88702.1241566989,88702.1241566989,95071.39806114898,95071.39806114898,95071.39806114898,0.0,0.0,0.0,1547862.6639366094,1467483.8800313307
2018-03-07,1364307.2202855067,1464178.0572576625,1622261.380502263,1364307.2202855067,1364307.2202855067,182286.39820813172,182286.39820813172,182286.39820813172,90823.28849093406,90823.28849093406,90823.28849093406,91463.10971719764,91463.10971719764,91463.10971719764,0.0,0.0,0.0,1546593.6184936385,1464838.9900034857
2018-03-08,1364525.2988522516,1453048.490138026,1615706.1796460007,1364525.2988522516,1364525.2988522516,169819.58272498485,169819.58272498485,169819.58272498485,82070.98430813524,82070.98430813524,82070.98430813524,87748.59841684956,87748.59841684956,87748.59841684956,0.0,0.0,0.0,1534344.8815772366,1461935.353115763
2018-03-09,1364743.3774189963,1424864.1951084044,1582409.0520800285,1364743.3774189963,1364743.3774189963,137095.5075718906,137095.5075718906,137095.5075718906,53121.087572935474,53121.087572935474,53121.087572935474,83974.41999895511,83974.41999895511,83974.41999895511,0.0,0.0,0.0,1501838.8849908868,1458820.2185812907
2018-03-10,1364961.4559857415,1225920.8344053312,1382575.7517575487,1364961.4559857415,1364961.4559857415,-58643.81336320575,-58643.81336320575,-58643.81336320575,-138825.78190664304,-138825.78190664304,-138825.78190664304,80181.96854343725,80181.96854343725,80181.96854343725,0.0,0.0,0.0,1306317.6426225358,1455541.332723031
2018-03-11,1365179.5345524861,1135192.5362682734,1296744.9712570275,1365179.5345524861,1365179.5345524861,-148556.2579994256,-148556.2579994256,-148556.2579994256,-224962.30253838713,-224962.30253838713,-224962.30253838713,76406.04453896152,76406.04453896152,76406.04453896152,0.0,0.0,0.0,1216623.2765530606,1452145.072424387
2018-03-12,1365397.613119231,1407815.6650390099,1566724.9783015724,1365397.613119231,1365397.613119231,121744.3075460397,121744.3075460397,121744.3075460397,49070.599916420826,49070.599916420826,49070.599916420826,72673.70762961886,72673.70762961886,72673.70762961886,0.0,0.0,0.0,1487141.9206652706,1448674.6984056053
2018-03-13,1365615.691685976,1446363.674248983,1601120.7224247707,1365615.691685976,1365615.691685976,157705.57126882346,157705.57126882346,157705.57126882346,88702.12415673847,88702.12415673847,88702.12415673847,69003.44711208498,69003.44711208498,69003.44711208498,0.0,0.0,0.0,1523321.2629547995,1445168.7839796324
2018-03-14,1365833.770252721,1447813.7128436223,1598518.4630863909,1365833.770252721,1365833.770252721,156227.9810863465,156227.9810863465,156227.9810863465,90823.28849109726,90823.28849109726,90823.28849109726,65404.69259524926,65404.69259524926,65404.69259524926,0.0,0.0,0.0,1522061.7513390675,1441664.2315289795
2018-03-15,1366051.848819466,1434821.0419223486,1587482.3085744616,1366051.848819466,1366051.848819466,143948.66025669704,143948.66025669704,143948.66025669704,82070.98430800003,82070.98430800003,82070.98430800003,61877.67594869697,61877.67594869697,61877.67594869697,0.0,0.0,0.0,1510000.5090761632,1438186.4640288262
2018-03-16,1366269.9273862108,1397183.0590055827,1560246.3175877426,1366269.9273862108,1366269.9273862108,111534.73177520517,111534.73177520517,111534.73177520517,53121.08757277046,53121.08757277046,53121.08757277046,58413.6442024347,58413.6442024347,58413.6442024347,0.0,0.0,0.0,1477804.6591614159,1434753.0031960446
2018-03-17,1366488.0059529557,1200684.8801512176,1355848.0641667414,1366488.0059529557,1366488.0059529557,-83830.37013782251,-83830.37013782251,-83830.37013782251,-138825.78190674074,-138825.78190674074,-138825.78190674074,54995.41176891823,54995.41176891823,54995.41176891823,0.0,0.0,0.0,1282657.635815133,1431373.0022235587
2018-03-18,1366706.0845197006,1120752.8671939315,1273983.4393455696,1366706.0845197006,1366706.0845197006,-173364.07296077817,-173364.07296077817,-173364.07296077817,-224962.30253871388,-224962.30253871388,-224962.30253871388,51598.229577935715,51598.229577935715,51598.229577935715,0.0,0.0,0.0,1193342.0115589225,1428047.107224396
2018-03-19,1366924.1630864455,1384043.5822516254,1544457.8327172634,1366924.1630864455,1366924.1630864455,97261.53868405308,97261.53868405308,97261.53868405308,49070.59991617878,49070.59991617878,49070.59991617878,48190.938767874315,48190.938767874315,48190.938767874315,0.0,0.0,0.0,1464185.7017704987,1424767.6473822857
2018-03-20,1367142.2416531905,1415535.9666250579,1577965.0719252652,1367142.2416531905,1367142.2416531905,133439.491909359,133439.491909359,133439.491909359,88702.12415666944,88702.12415666944,88702.12415666944,44737.36775268957,44737.36775268957,44737.36775268957,0.0,0.0,0.0,1500581.7335625496,1421519.143183393
2018-03-21,1367360.3202199354,1417151.8222604787,1575941.4440438724,1367360.3202199354,1367360.3202199354,132021.21252955523,132021.21252955523,132021.21252955523,90823.28849103866,90823.28849103866,90823.28849103866,41197.92403851655,41197.92403851655,41197.92403851655,0.0,0.0,0.0,1499381.5327494906,1418279.1119563102
2018-03-22,1367578.3987866803,1408801.165123998,1570641.0138579498,1367578.3987866803,1367578.3987866803,119602.31061524054,119602.31061524054,119602.31061524054,82070.98430786483,82070.98430786483,82070.98430786483,37531.32630737569,37531.32630737569,37531.32630737569,0.0,0.0,0.0,1487180.709401921,1415019.140574276
2018-03-23,1367796.4773534252,1374587.5349361137,1536952.1561094888,1367796.4773534252,1367796.4773534252,86817.5057498418,86817.5057498418,86817.5057498418,53121.08757283914,53121.08757283914,53121.08757283914,33696.41817700267,33696.41817700267,33696.41817700267,0.0,0.0,0.0,1454613.983103267,1411706.1868516833
2018-03-24,1368014.5559201702,1182209.5179938478,1343124.1417864652,1368014.5559201702,1368014.5559201702,-109171.77911336848,-109171.77911336848,-109171.77911336848,-138825.78190644307,-138825.78190644307,-138825.78190644307,29654.0027930746,29654.0027930746,29654.0027930746,0.0,0.0,0.0,1258842.7768068016,1408304.064136207
2018-03-25,1368232.634486915,1087517.3528130318,1244509.3036159808,1368232.634486915,1368232.634486915,-199593.66547737265,-199593.66547737265,-199593.66547737265,-224962.3025385182,-224962.3025385182,-224962.3025385182,25368.637061145575,25368.637061145575,25368.637061145575,0.0,0.0,0.0,1168638.9690095424,1404775.0580577243
2018-03-26,1368450.71305366,1355981.0861725274,1522711.295983483,1368450.71305366,1368450.71305366,69880.92578925971,69880.92578925971,69880.92578925971,49070.59991631451,49070.59991631451,49070.59991631451,20810.32587294521,20810.32587294521,20810.32587294521,0.0,0.0,0.0,1438331.6388429196,1401081.6204966416
2018-03-27,1368668.791620405,1393230.1846000226,1551101.8945755006,1368668.791620405,1368668.791620405,104658.18421600238,104658.18421600238,104658.18421600238,88702.12415667273,88702.12415667273,88702.12415667273,15956.060059329655,15956.060059329655,15956.060059329655,0.0,0.0,0.0,1473326.9758364074,1397188.0836786213
2018-03-28,1368886.8701871498,1388917.9895971136,1546434.7724781383,1368886.8701871498,1368886.8701871498,101614.43538342231,101614.43538342231,101614.43538342231,90823.28849103986,90823.28849103986,90823.28849103986,10791.146892382438,10791.146892382438,10791.146892382438,0.0,0.0,0.0,1470501.3055705721,1393062.3369387758
